cod_art;ref_prove;des_art;cod_cat;descrip;Cats;Fabricante;precio_v;p.Activo;ruta_img;SHOW_PRICE;codigo
900056;100858574;CIF PROF. STAINLESS STEEL & GLASS (0.75L;;;;DIVERSEY ESPAÑA, S.L.;3,28;1;;0;
900058;7516997;TASKI SPRINT MULTIUSOS (5L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;19,57;1;C:\SALIDA\img\900058.JPG;0;208
900059;7512991;TASKI ALCONET (UNIDAD 5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;19,1;1;;0;194
900104;;TASKI SPRINT IMPACT (UNIDAD5L);208;MULTIUSOS;0,109,208;DIVERSEY ESPAÑA, S.L.;14,48;1;C:\SALIDA\img\900104.JPG;0;208
900108;7513844;TASKI SPRINT MAGNUM (UNIDAD 5 L);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;13,055;1;C:\SALIDA\img\900108.JPG;0;258
900113;7517906;CIF PROF. WINDOW & MULTI SURFACE(750ML);;;;DIVERSEY ESPAÑA, S.L.;3,31;1;;0;
900114;7517856;CIF PROF 2 EN 1 CLEANER DISINFECTANTE (5L);;;;DIVERSEY ESPAÑA, S.L.;16,2;1;;0;
900115;7516990;GOOD SENSE PIN (UNIDAD 5L.);258;LIMPIADORES AMBIENTADORES;0,113,258;DIVERSEY ESPAÑA, S.L.;25,42;1;C:\SALIDA\img\900115.jpg;0;258
900116;7517831;CIF PROF. WASHROOM 2 IN 1 (5L);;;;DIVERSEY ESPAÑA, S.L.;10,57;1;;0;
900117;1204321;KIT BOT RELLEN 300ML R2 (1BOT+1PULV);280;BOTELLAS Y PULVERIZADORES;0,115,280;DIVERSEY ESPAÑA, S.L.;11,58;1;;0;280
900125;7513507;GOOD SENSE POWER (UNIDAD 1L.);255;AMBIENTADORES LIQUIDOS;0,113,255;DIVERSEY ESPAÑA, S.L.;16,55;1;C:\SALIDA\img\900125.JPG;0;255
900140;7513947;SUMA GLASS PROTECT L44 (UNIDAD 5L.);175;LAVADO AUTOMATICO;0,106,175;DIVERSEY ESPAÑA, S.L.;27,595;1;;0;175
900145;7513329;PROTECT 5L;195;IMPREGNADORES;0,107,195;DIVERSEY ESPAÑA, S.L.;107,57;1;;0;195
900150;7512677;JONTEC MAGICMOP 500ML;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;5,202;1;C:\SALIDA\img\900150.jpg;0;194
900151;7518680;DI SPRINT LIMPIADOR CLORADO (UNIDAD);;;;DIVERSEY ESPAÑA, S.L.;2,37;1;C:\SALIDA\img\900151.JPG;0;
900155;7521719;SPRINT H-100 (UNIDAD 5L.);;;;DIVERSEY ESPAÑA, S.L.;14,6;1;C:\SALIDA\img\900155.JPG;0;
900157;7513198;TASKI JONTEC TECHNIQUE W782 5L;195;IMPREGNADORES;0,107,195;DIVERSEY ESPAÑA, S.L.;44,29;1;C:\SALIDA\img\900157.png;0;195
900166;7512694;TASKI JONTEC ETERNUM (5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;47,21;1;C:\SALIDA\img\900166.png;0;196
900168;7521465;SUMA COMBI LA6 (UNIDAD 5L);175;LAVADO AUTOMATICO;0,106,175;DIVERSEY ESPAÑA, S.L.;31,7;1;;0;175
900175;7512094;SUMA STAR PLUS D1 PLUS (1.5L);189;SISTEMA DIVERMITE-COCINAS;0,106,189;DIVERSEY ESPAÑA, S.L.;23,86;1;C:\SALIDA\img\900175.jpg;0;189
900177;7514751;JD OMNISTRIP (5L);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;23,56;1;C:\SALIDA\img\900177.jpg;0;197
900178;7515301;TASKI SPRINT EMEREL AMONIACAL (1.5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;2,587;1;C:\SALIDA\img\900178.jpg;0;194
900182;;TASKI SPRINT EMEREL DESENGRASANTE (5L);183;DESENGRASANTES;0,106,183;DIVERSEY ESPAÑA, S.L.;17,72;1;C:\SALIDA\img\900182.jpg;0;183
900183;7513323;TASKI JONTEC LUNA W362 (5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;43,725;1;C:\SALIDA\img\900183.jpg;0;196
900185;7514156;SUMA STAT PLUS D1 BAC (UNIDAD 1,5L.);189;SISTEMA DIVERMITE-COCINAS;0,106,189;DIVERSEY ESPAÑA, S.L.;29,635;1;C:\SALIDA\img\900185.JPG;0;189
900188;7517390;JD JONTEC FUTUR (UNIDAD 5L.);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;27,71;1;C:\SALIDA\img\900188.png;0;197
900189;7512688;JONTEC LINOSAFE (5L.);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;42,35;1;C:\SALIDA\img\900189.png;0;197
900190;7508300;SUMA SPECIAL L4 (5L);175;LAVADO AUTOMATICO;0,106,175;DIVERSEY ESPAÑA, S.L.;29,71;1;C:\SALIDA\img\900190.JPG;0;175
900192;7519090;TASKI SPRINT EMEREL AMONIACAL (5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;7,025;1;C:\SALIDA\img\900192.jpg;0;194
900193;7508307;SUMA NOVA L6 (5L);175;LAVADO AUTOMATICO;0,106,175;DIVERSEY ESPAÑA, S.L.;35,295;1;C:\SALIDA\img\900193.jpg;0;175
900194;7516314;SUMA SCALE D5.2 (UNIDAD 5L.);181;DESINCRUSTANTES;0,106,181;DIVERSEY ESPAÑA, S.L.;23,15;1;C:\SALIDA\img\900194.JPG;0;181
900196;7512671;JONTEC ASSET NEUTRO 5L;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;18,96;1;C:\SALIDA\img\900196.JPG;0;194
900199;;TASKI SPRINT EMEREL BIO (UNIDAD 5 L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;20,39;1;C:\SALIDA\img\900199.JPG;0;194
900200;7518484;DI GERMATOL DESINFECTANTE (5L);;;;DIVERSEY ESPAÑA, S.L.;16,735;1;;0;
900203;;JONTEC PROTECT PLUS VERMELHO (5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;33,35;1;C:\SALIDA\img\900203.png;0;196
900206;100834248;JONTEC Nº1 (ENVASE 5 L);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;35,25;1;C:\SALIDA\img\900206.JPG;0;197
