cod_art;cod_artp;des_art;cod_cat;cat;familia;des_fam;nombre;precio_v;cod_pro;ACTIVO;ruta_img
6600;106990;RAID E.P.M.CUCAS (CAJA 12U X  300 ML);169;INSECTICIDAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;110,12;400000001;1;
6605;606855;RAID MAX CUCAS Y HORMIGAS (12X300 ML);169;INSECTICIDAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;91,53;400000001;1;
6705;628949;RAID MOSCAS Y MOSQUITOS (12Ux600ML );169;INSECTICIDAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;91,53;400000001;1;
6905;7518547;DI SPRINT EMEREL BACTERICIDA (20L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;108,06;400000001;1;
6915;7518548;DI EMEREL BACTERICIDA (2Ux5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;56,33;400000001;1;
6925;100887129;GERMATOL DESINFECTANTE (2x5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,47;400000001;1;
6935;7517375;DI SPRINT ANTIBAC (2UX5L) E;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;44,63;400000001;1;
7005;;SOFT CARE FRESKOGEL (2Ux5L);233;JABONES A GRANEL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;49,2;400000001;1;C:\SALIDA\img\007005.JPG
7055;6961200;SOFT CARE DOVE CREAM WASH H2 (6Ux800ML);239;GAMA SOFT CARE SENSATIONS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;68,26;400000001;1;
7058;7508210;SOFT CARE WASH H2 (10U. X 0,50L.);234;JABONES PELICANO;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;76,94;400000001;1;
7060;7519332;SOFT CARE LUX 2 EN 1 H68 (6Ux800ML);239;GAMA SOFT CARE SENSATIONS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;59,13;400000001;1;
7065;7519457;SOFT CARE LUX 2 EN 1 H68 28X300ML W2;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;177,86;400000001;1;
7067;7511431;SOFT CARE DOVE CHAMPU H6 (28RECX300ML);238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;220,24;400000001;1;
7068;7519456;SOFT CARE LUX HAND SOAP H28 (28U.X0,3L.);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;172,06;400000001;1;
7069;7518826;SOFT CARE GENTLE HAND SOAP H2 (28X300ML);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;155,07;400000001;1;
7070;6966900;SOFT CARE DOVE CREAM WASH H2 28X300ML;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;198,45;400000001;1;C:\SALIDA\img\007070.gif
7071;7517013;SOFT CARE BODY WASH GLOVES 30X5P;241;TOALLAS Y ESPONJAS IMPREGNADAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;51,94;400000001;1;
7072;6966800;SOFT CARE DOVE GEL DUCHA H61 (28RECX300ML);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;208,3;400000001;1;
7077;6971780;SOFT CARE KIT ADHESIVO (1U);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;2,93;400000001;1;
7080;6967000;SOFT CARE SOPORTE BLANCO (10U);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;43,41;400000001;1;
7081;6967000;WALL BRACKET SOFT CARE SELECT WHITE (10PC);238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;47;400000001;1;
7082;6967000;SOFT CARE SOPORTE BLANCO (1U);237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;4,341;400000001;1;
7085;6960300;SOFT CARE FRESH H1 6X800ML;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;46,6;400000001;1;
7090;7515115;SOFT CARE BAC H4 6X800ML;237;LINEA SOFT CARE LINE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;71,5;400000001;1;
7091;7513586;DOVE REVITALISING SHAMPOO (100UX25ML.);238;LINEA SOFT CARE SELECT;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;57,23;400000001;1;C:\SALIDA\img\007091.jpg
