"codigo";"descrip";"cod_padre";"Activo";"Raiz"
290;"PAÑOS";"BAYETAS Y PAÑOS";1;0
291;"SISTEMA JONMASTER";"SISTEMAS DE FREGADO/BARRIDO PL";1;0
292;"SISTEMA TTS";"SISTEMAS DE FREGADO/BARRIDO PL";1;0
293;"SISTEMA RUBBERMAID";"SISTEMAS DE FREGADO/BARRIDO PL";1;0
294;"SISTEMA VILEDA";"SISTEMAS DE FREGADO/BARRIDO PL";1;0
295;"OTROS SISTEMAS";"SISTEMAS DE FREGADO/BARRIDO PL";1;0
296;"FREGONA DOMESTICA";"FREGADO TRADICIONAL";1;0
297;"FREGONA INDUSTRIAL";"FREGADO TRADICIONAL";1;0
298;"CUBO DOMESTICO";"CUBOS";1;0
299;"CUBO INDUSTRIAL";"CUBOS";1;0
300;"ACCESORIOS PARA CUBOS";"CUBOS";1;0
301;"CUBETAS";"CUBOS";1;0
302;"CUBOS AUXILIARES";"CUBOS";1;0
303;"GUANTE DESECHABLE";"GUANTES";1;0
304;"GUANTE DE FREGADO/LIMPIEZA";"GUANTES";1;0
305;"GUANTE TECNICO";"GUANTES";1;0
306;"CARROS Y EQUIPOS DE LIMPIEZA";"CARROS";1;0
307;"ACCESORIOS Y REPUESTOS CARROS";"CARROS";1;0
308;"CARROS DE HOTEL";"CARROS";1;0
309;"CARROS DE LAVANDERÍA";"CARROS";1;0
310;"CARROS DE COCINA Y COMEDOR";"CARROS";1;0
311;"TROLLEYS";"CARROS";1;0
312;"DISCOS 3M";"DISCOS";1;0
313;"ECONOMIC LINE 3M ADILIM";"DISCOS";1;0
314;"PALOS PARA FREGONAS Y ESCOBAS";"PALOS";1;0
315;"PALOS TELESCOPICOS";"PALOS";1;0
316;"LIMPIACRISTALES";"LIMPIEZA DE CRISTALES";1;0
317;"LAVAVIDRIOS";"LIMPIEZA DE CRISTALES";1;0
318;"CUBETAS";"LIMPIEZA DE CRISTALES";1;0
319;"PALOS TELESCOPICOS";"LIMPIEZA DE CRISTALES";1;0
320;"RASCADORES";"LIMPIEZA DE CRISTALES";1;0
321;"APLICADORES DE CERA";"LIMPIEZA DE CRISTALES";1;0
322;"ACCESORIOS CRISTALES";"LIMPIEZA DE CRISTALES";1;0
323;"RECAMBIOS";"LIMPIEZA DE CRISTALES";1;0
324;"BOLSA NEGRA Y BLANCA";"BOLSAS DE BASURA";1;0
325;"BOLSAS COLOR";"BOLSAS DE BASURA";1;0
326;"BOLSAS CAMISETA Y OTRAS";"BOLSAS DE BASURA";1;0
327;"VASOS";"DESECHABLES";1;0
328;"PLATOS";"DESECHABLES";1;0
329;"CUBIERTOS";"DESECHABLES";1;0
330;"TARRINAS Y CANUTILLOS";"DESECHABLES";1;0
331;"PALETINAS";"DESECHABLES";1;0
332;"PALILLOS";"DESECHABLES";1;0
333;"ASPIRADORES";"MAQUINARIA";1;0
334;"ROTATIVAS";"MAQUINARIA";1;0
335;"FREGADORAS";"MAQUINARIA";1;0
336;"HIDROLIMPIADORAS";"MAQUINARIA";1;0
337;"MAQUINAS INYECCION-EXTRACCION";"MAQUINARIA";1;0
338;"OTRAS";"MAQUINARIA";1;0
339;"REPUESTOS MAQUINARIA";"MAQUINARIA";1;0
340;"ACCESORIOS MAQUINARIA";"MAQUINARIA";1;0
341;"ASPIRADOR PROFESIONAL";"ASPIRADORES";1;0
342;"ASPIRADOR INDUSTRIAL";"ASPIRADORES";1;0
343;"RECAMBIOS Y ACCESORIOS";"ASPIRADORES";1;0
344;"OTROS QUIMICOS";"FREGADORAS";1;0
345;"HOMBRE A BORDO";"FREGADORAS";1;0
346;"RECAMBIOS Y ACCESORIOS";"FREGADORAS";1;0
347;"HIDROLIMPIADORA AGUA FRIA CONSUMO";"HIDROLIMPIADORAS";1;0
348;"HIDROLIMPIADORA AGUA FRIA PROFESIONAL";"HIDROLIMPIADORAS";1;0
349;"HIDROLIMPIADORA AGUA CALIENTE";"HIDROLIMPIADORAS";1;0
350;"HIDROLIMPIADORA ESPECIFICA";"HIDROLIMPIADORAS";1;0
351;"RECAMBIOS Y ACCESORIOS";"HIDROLIMPIADORAS";1;0
352;"SERVILLETAS ELEGANCE";"DUNI";1;0
353;"SERVILLETAS DUNILIN";"DUNI";1;0
354;"SERVILLETAS DUNISOFT";"DUNI";1;0
355;"SERVILLETAS TISU DUNI";"DUNI";1;0
356;"TETE A TETE";"DUNI";1;0
357;"ROLLOS DUNI";"DUNI";1;0
358;"MANTELITOS";"DUNI";1;0
359;"VELAS Y ACCESORIOS";"DUNI";1;0
360;"DUNILETTO";"DUNI";1;0
361;"VASOS DUNI";"DUNI";1;0
362;"PLATOS DUNI";"DUNI";1;0
363;"OTROS DUNI";"DUNI";1;0
364;"CUBIERTOS Y PLATOS DUNI";"DUNI";1;0
